Iteration number; Actual position; Estimated postion; Angle; Horizontal angle; Vertical angle; Time
-- amount:1 ,3D:True ,only front:True ,unique sounds:True
1; (1.7, 2.1, 1.2); (2.4, -0.6, 1.7); 57.14145; 12.14122; 54.18015; 8.439398
2; (-2.9, 0.0, 0.9); (-2.4, -0.6, 1.7); 19.67652; 10.86583; 55.4957; 8.609705
3; (0.0, 0.0, 3.0); (-0.2, 1.0, 2.8); 19.53751; 19.10129; 4.184265; 4.560571
4; (0.4, -2.7, 1.3); (-0.2, -1.0, 2.8); 46.26727; 19.29221; 4.133911; 6.036757
5; (2.9, 0.0, 0.9); (2.1, 0.7, 2.0); 28.84656; 13.6033; 46.3157; 4.3062
6; (-1.2, 2.1, 1.7); (-0.9, 1.2, 2.6); 25.36158; 23.68307; 19.10129; 5.88144
7; (0.0, 2.7, 1.4); (0.0, 0.8, 2.9); 47.00107; 16.00128; 0.6742554; 6.451354
8; (-1.2, -1.4, 2.4); (-1.2, 0.9, 2.6); 44.41727; 17.39651; 25.60083; 6.26795
9; (2.9, 0.0, 0.9); (2.6, -0.6, 1.3); 14.69305; 11.91604; 63.34092; 6.342471
10; (-1.2, 2.1, 1.7); (-1.5, -0.6, 2.5); 55.75409; 10.59612; 31.36099; 8.575588
11; (0.0, 0.0, 3.0); (-0.1, -0.8, 2.9); 15.36201; 15.33061; 0.9939575; 6.292455
12; (0.4, -2.7, 1.3); (0.7, 0.9, 2.8); 80.69603; 17.60599; 13.14912; 8.062325
13; (0.0, 2.7, 1.4); (0.0, -2.0, 2.2); 105.9764; 42.97283; 1.093158; 6.186653
14; (1.7, 2.1, 1.2); (2.6, -0.3, 1.5); 50.33357; 5.152225; 58.76417; 4.55946
15; (-1.2, -1.4, 2.4); (-1.7, -0.2, 2.5); 24.9539; 3.251699; 35.00867; 6.277932
16; (-2.9, 0.0, 0.9); (-2.7, -0.3, 1.3); 9.668045; 5.94398; 64.36127; 5.137389
--------Experiment Done------------------
