Iteration number; Actual position; Estimated postion; Angle; Horizontal angle; Vertical angle; Time
-- amount:2 ,3D:True ,only front:True ,unique sounds:True
1; (0.0, 2.7, 1.4); (0.5, 1.9, 2.3); 25.6147; 38.33075; 11.38771; 6.650791
1; (0.0, -2.7, 1.4); (0.4, -0.9, 2.8); 45.9297; 17.4437; 8.419177; 20.15354
2; (-1.2, 2.1, 1.7); (-1.6, 0.0, 2.5); 45.38153; 0.3015302; 32.96301; 10.54412
2; (2.3, -1.8, 0.8); (2.6, -0.6, 1.4); 25.37055; 12.43202; 61.57935; 14.50583
3; (-2.9, 0.0, 0.9); (-2.7, 0.7, 1.1); 13.7253; 12.82098; 67.05881; 4.479302
3; (0.0, 0.0, 3.0); (0.2, -0.8, 2.9); 16.76818; 16.41789; 3.457407; 15.83885
4; (0.0, -2.1, 2.1); (-0.1, -1.2, 2.8); 21.89549; 23.19472; 2.433319; 12.31733
4; (0.0, -2.7, 1.4); (0.3, -0.7, 2.9); 49.26155; 13.96309; 6.651569; 18.97065
5; (-2.1, 0.0, 2.1); (-2.0, 0.1, 2.2); 3.098446; 1.616333; 42.35605; 2.930754
5; (2.9, 0.0, 0.9); (2.8, -0.2, 1.1); 5.987855; 4.240432; 67.76845; 5.359226
6; (2.3, -1.8, 0.8); (2.8, 0.0, 1.0); 35.55957; 0.4474132; 71.24165; 4.359681
6; (-1.2, 2.1, 1.7); (-1.8, 0.2, 2.4); 42.17281; 2.868134; 38.11176; 14.07711
7; (0.0, 2.7, 1.4); (0.0, 0.7, 2.9); 49.23761; 13.76254; 0.1841431; 9.851878
7; (0.0, -2.7, 1.4); (-0.4, 0.7, 2.9); 77.14097; 13.94977; 6.965149; 26.98073
8; (-2.9, 0.0, 0.9); (-2.8, -0.4, 1.1); 8.128835; 7.082583; 68.0004; 9.145533
8; (0.0, 0.0, 3.0); (0.0, 0.2, 3.0); 4.728204; 4.710541; 0.4087628; 13.09169
--------Experiment Done------------------
