Iteration number; Actual position; Estimated postion; Error angle
-- amount:1 ,3D:True ,only front:True ,unique sounds:True
5; (3.0, 0.0, 0.0); (3.0, 0.0, 0.0); 0.9074132
--------Iteration Done------------------
5; (-3.0, 0.0, 0.0); (-3.0, -0.3, -0.3); 7.705993
--------Iteration Done------------------
5; (0.0, 0.0, 3.0); (0.1, -0.1, 3.0); 2.120526
--------Iteration Done------------------
5; (1.1, 2.8, 0.0); (1.6, 2.6, 0.0); 9.005841
--------Iteration Done------------------
5; (1.1, -2.8, 0.0); (1.2, -2.7, 0.1); 2.676788
--------Iteration Done------------------
--------Experiment Done------------------
