Iteration number; Actual position; Estimated postion; Angle; Horizontal angle; Vertical angle; Time
-- amount:1 ,3D:True ,only front:True ,unique sounds:True
1; (1.7, 2.1, 1.2); (2.3, 0.9, 1.7); 27.26484; 17.73547; 54.16445; 2.439838
2; (-2.9, 0.0, 0.9); (-2.6, 0.6, 1.4); 15.50606; 11.28482; 61.29584; 2.427726
3; (0.0, 0.0, 3.0); (0.3, 0.0, 3.0); 5.935278; 0.2785645; 5.928754; 2.493021
4; (0.4, -2.7, 1.3); (1.3, 1.0, 2.5); 81.75653; 18.48538; 26.457; 4.196971
5; (2.9, 0.0, 0.9); (2.9, 0.4, 0.8); 7.746256; 7.209076; 74.84171; 2.389761
6; (-1.2, 2.1, 1.7); (-1.6, 1.2, 2.2); 22.33106; 22.67203; 36.45636; 2.690585
7; (0.0, 2.7, 1.4); (-0.8, 0.9, 2.8); 47.5383; 16.66827; 15.2851; 3.718413
8; (-1.2, -1.4, 2.4); (-1.2, -0.1, 2.8); 25.9424; 1.345023; 22.98758; 3.278516
9; (2.9, 0.0, 0.9); (2.9, 0.1, 0.7); 5.888394; 2.584595; 77.29264; 2.522965
10; (-1.2, 2.1, 1.7); (-1.5, 0.5, 2.6); 35.33103; 10.008; 30.32938; 2.637496
11; (0.0, 0.0, 3.0); (-0.1, 0.5, 3.0); 10.28283; 10.15259; 1.639954; 3.691623
12; (0.4, -2.7, 1.3); (1.0, -1.6, 2.4); 31.96597; 31.22046; 23.39219; 3.146205
13; (0.0, 2.7, 1.4); (0.2, 0.9, 2.9); 45.32453; 17.74173; 3.533704; 3.417439
14; (1.7, 2.1, 1.2); (2.5, 0.8, 1.4); 30.76894; 14.71918; 60.44883; 2.515125
15; (-1.2, -1.4, 2.4); (-1.0, 0.6, 2.8); 39.37685; 11.72992; 19.67813; 2.360793
16; (-2.9, 0.0, 0.9); (-2.5, 0.9, 1.5); 21.47866; 17.09818; 58.80133; 4.721588
--------Experiment Done------------------
