Iteration number; Actual position; Estimated postion; Angle; Horizontal angle; Vertical angle; Time
-- amount:2 ,3D:True ,only front:True ,unique sounds:True
1; (0.0, 2.7, 1.4); (-0.5, 1.5, 2.5); 33.31046; 30.45917; 11.08499; 3.334448
1; (0.0, -2.7, 1.4); (-0.2, 0.1, 3.0); 64.4428; 1.362213; 4.284393; 7.574833
2; (-1.2, 2.1, 1.7); (2.1, 1.7, 1.2); 69.18259; 35.36652; 59.36219; 3.357407
2; (2.3, -1.8, 0.8); (-1.7, 1.0, 2.3); 114.6359; 18.51996; 35.45865; 6.222469
3; (-2.9, 0.0, 0.9); (-2.7, 1.1, 0.6); 22.58264; 21.70102; 78.40491; 2.879735
3; (0.0, 0.0, 3.0); (0.6, 1.4, 2.6); 30.4221; 27.65186; 13.21753; 5.347171
4; (0.0, -2.1, 2.1); (-0.2, 0.4, 3.0); 53.51447; 8.437531; 3.182983; 6.519125
4; (0.0, -2.7, 1.4); (-0.3, 0.6, 2.9); 75.30641; 12.18988; 5.395935; 8.215512
5; (-2.1, 0.0, 2.1); (-2.2, 0.9, 1.8); 18.48458; 17.31039; 51.58466; 3.798371
5; (2.9, 0.0, 0.9); (2.6, 0.8, 1.3); 17.69547; 15.5253; 63.40264; 5.599208
6; (-1.2, 2.1, 1.7); (2.1, 2.0, 0.9); 69.21856; 41.97772; 66.9876; 3.092971
6; (2.3, -1.8, 0.8); (-1.8, 1.4, 1.9); 125.384; 27.00757; 43.66104; 6.101361
7; (0.0, 2.7, 1.4); (-0.4, 2.5, 1.6); 8.798214; 56.776; 12.47458; 4.773862
7; (0.0, -2.7, 1.4); (-1.3, -0.1, 2.7); 64.85632; 1.063797; 25.89206; 13.59909
8; (0.0, 0.0, 3.0); (-0.5, 1.8, 2.3); 39.056; 37.72586; 10.95621; 3.638502
8; (-2.9, 0.0, 0.9); (-2.8, 0.1, 1.0); 2.102451; 1.516663; 70.54391; 5.613969
--------Experiment Done------------------
