Iteration number; Actual position; Estimated postion; Angle; Horizontal angle; Vertical angle; Time
-- amount:2 ,3D:True ,only front:True ,unique sounds:True
1; (0.0, 2.7, 1.4); (0.0, 1.6, 2.6); 31.77448; 31.23306; 1.083446; 3.902101
1; (0.0, -2.7, 1.4); (0.0, -2.2, 2.0); 14.77166; 48.23861; 0.9954482; 7.410555
2; (2.3, -1.8, 0.8); (2.7, 0.0, 1.3); 36.6342; 0.1224923; 64.03205; 8.343135
2; (-1.2, 2.1, 1.7); (-1.3, 0.5, 2.7); 37.20256; 8.819489; 25.97986; 12.10272
3; (-2.9, 0.0, 0.9); (-2.6, -0.1, 1.5); 12.63251; 2.463572; 59.6062; 4.790458
3; (0.0, 0.0, 3.0); (0.2, 0.4, 3.0); 8.860068; 8.037689; 3.740069; 8.025508
4; (0.0, -2.1, 2.1); (0.2, -1.9, 2.3); 5.726594; 40.05569; 3.925342; 12.82493
4; (0.0, -2.7, 1.4); (0.3, -1.4, 2.6); 35.14027; 28.13132; 6.681402; 14.02473
5; (2.9, 0.0, 0.9); (2.5, -0.7, 1.5); 17.74926; 12.52372; 59.32051; 4.160672
5; (-2.1, 0.0, 2.1); (-1.6, 0.3, 2.5); 14.86349; 6.138733; 31.43729; 7.321491
6; (2.3, -1.8, 0.8); (2.7, -0.7, 1.2); 22.83688; 13.78102; 66.12153; 3.267481
6; (-1.2, 2.1, 1.7); (-1.3, 0.6, 2.7); 35.18709; 10.94412; 25.68631; 12.14493
7; (0.0, -2.7, 1.4); (0.2, -1.6, 2.5); 30.10892; 33.02606; 4.511284; 7.169933
7; (0.0, 2.7, 1.4); (0.2, 0.9, 2.9); 45.88689; 17.22156; 4.535398; 9.329784
8; (0.0, 0.0, 3.0); (0.1, -0.5, 2.9); 10.72914; 10.39765; 2.66106; 5.57475
8; (-2.9, 0.0, 0.9); (-2.5, -0.4, 1.6); 15.97636; 7.078869; 57.64075; 8.134455
--------Experiment Done------------------
