Iteration number; Actual position; Estimated postion; Angle; Horizontal angle; Vertical angle; Time
-- amount:1 ,3D:True ,only front:True ,unique sounds:True
1; (1.7, 2.1, 1.2); (1.6, 1.9, 1.6); 7.39035; 40.36673; 46.15719; 3.451035
2; (-2.9, 0.0, 0.9); (-2.3, 1.8, 0.7); 38.02781; 38.02716; 72.23502; 3.64396
3; (0.0, 0.0, 3.0); (-0.1, 1.0, 2.8); 20.38437; 20.16812; 3.025024; 4.839345
4; (0.4, -2.7, 1.3); (0.9, -0.3, 2.8); 58.18011; 4.819905; 17.99265; 6.56786
5; (2.9, 0.0, 0.9); (2.5, 0.8, 1.5); 20.13283; 15.83282; 59.40137; 3.190823
6; (-1.2, 2.1, 1.7); (-1.1, 1.7, 2.2); 12.6527; 34.61871; 26.53934; 7.167802
7; (0.0, 2.7, 1.4); (-0.2, 2.0, 2.2); 21.93662; 41.3327; 5.801178; 8.656807
8; (-1.2, -1.4, 2.4); (-1.2, 0.6, 2.7); 37.88282; 10.69305; 23.0983; 3.4905
9; (2.9, 0.0, 0.9); (2.6, 1.4, 0.7); 27.69956; 27.64978; 73.7295; 3.880703
10; (-1.2, 2.1, 1.7); (-1.8, 0.0, 2.4); 44.18806; 0.828186; 37.35529; 9.437357
11; (0.0, 0.0, 3.0); (-0.1, 1.0, 2.8); 20.21356; 20.03891; 2.707489; 4.103977
12; (0.4, -2.7, 1.3); (0.2, -1.7, 2.5); 30.23456; 33.83603; 5.278225; 5.065989
13; (0.0, 2.7, 1.4); (-0.6, 1.3, 2.6); 38.41536; 25.55246; 12.92889; 7.667872
14; (1.7, 2.1, 1.2); (1.4, 1.9, 1.8); 11.9111; 40.51508; 38.9376; 3.335135
15; (-1.2, -1.4, 2.4); (-1.3, 1.2, 2.4); 49.83523; 22.81812; 28.35062; 3.919609
16; (-2.9, 0.0, 0.9); (-2.7, 1.1, 0.7); 22.3796; 22.21704; 74.76318; 4.181379
--------Experiment Done------------------
