reactionTime;closestDist;hit;correct;direction
2.278748;1.663373;0;0;(-1.0, 0.1, 0.2)
2.346039;0.5580697;1;0;(0.9, 0.0, 0.5)
3.368156;2.205156;0;1;(1.0, -0.2, -0.1)
3.168167;1.66336;0;1;(0.7, -0.2, -0.7)
2.91613;3.253896;0;1;(-0.5, -0.2, -0.8)
2.295059;4.00001;0;0;(-0.9, 0.5, 0.1)
2.529984;0.2797208;1;1;(-1.0, 0.0, 0.0)
2.748062;0.8363463;1;1;(1.0, -0.1, -0.2)
2.832001;1.113451;0;0;(-0.8, -0.1, -0.6)
3.51915;0.836315;1;0;(0.5, 0.1, 0.9)
2.71405;2.205144;0;0;(-0.9, -0.2, 0.5)
2.061096;2.736177;0;1;(0.9, -0.3, -0.3)
2.664124;2.736186;0;1;(0.9, -0.1, 0.5)
2.932083;0.01969543;1;1;(0.4, 0.0, -0.9)
2.344925;4.000008;0;1;(0.9, -0.3, 0.0)
2.798065;0.02597022;1;1;(0.2, 0.0, 1.0)
2.530151;2.736176;0;0;(-0.8, -0.3, 0.5)
2.815094;1.935411;0;1;(0.1, 0.0, -1.0)
2.78241;0.836347;1;1;(-1.0, -0.1, -0.1)
3.453079;1.93544;0;0;(0.9, 0.2, 0.3)
