Iteration number; Actual position; Estimated postion; Error angle
-- amount:1 ,3D:True ,only front:True ,unique sounds:True
5; (3.0, 0.0, 0.0); (3.0, -0.2, -0.3); 7.376318
--------Iteration Done------------------
5; (-3.0, 0.0, 0.0); (3.0, -0.2, -0.3); 172.6237
--------Iteration Done------------------
5; (0.0, 0.0, 3.0); (3.0, -0.2, -0.3); 96.58855
--------Iteration Done------------------
5; (1.1, 2.8, 0.0); (3.0, -0.2, -0.3); 70.95573
--------Iteration Done------------------
5; (1.1, -2.8, 0.0); (3.0, -0.2, -0.3); 64.3588
--------Iteration Done------------------
--------Experiment Done------------------
