Iteration number; Actual position; Estimated postion; Angle; Horizontal angle; Vertical angle; Time
-- amount:1 ,3D:True ,only front:True ,unique sounds:True
1; (1.7, 2.1, 1.2); (2.2, 1.0, 1.7); 25.90508; 19.1377; 52.21015; 5.21299
2; (-2.9, 0.0, 0.9); (-2.7, 0.0, 1.3); 8.06324; 0.6169128; 63.96024; 4.040422
3; (0.0, 0.0, 3.0); (0.2, -1.1, 2.8); 21.56614; 21.1472; 4.330591; 13.50493
4; (0.4, -2.7, 1.3); (0.4, -2.3, 1.9); 14.12601; 49.18585; 12.60603; 18.08855
5; (2.9, 0.0, 0.9); (2.7, 0.0, 1.2); 6.157051; 0.03276954; 65.84303; 9.346537
6; (-1.2, 2.1, 1.7); (-1.3, 1.5, 2.3); 16.59583; 28.95016; 30.66705; 11.44183
7; (0.0, 2.7, 1.4); (0.2, 1.8, 2.4); 27.02838; 36.19711; 5.652698; 13.57027
8; (-1.2, -1.4, 2.4); (-1.1, -1.7, 2.2); 7.025041; 33.9244; 25.62357; 11.22401
9; (2.9, 0.0, 0.9); (2.6, -1.2, 0.9); 23.37263; 23.33767; 70.68494; 9.626331
10; (-1.2, 2.1, 1.7); (-1.6, 0.3, 2.5); 40.10322; 4.974548; 33.14615; 14.72807
11; (0.0, 0.0, 3.0); (-0.1, -2.9, 0.9); 73.51008; 73.45817; 4.477325; 7.040162
12; (0.4, -2.7, 1.3); (0.4, -2.8, 1.0); 5.629845; 68.59618; 19.50987; 11.09403
13; (0.0, 2.7, 1.4); (0.2, 0.8, 2.9); 47.96722; 15.08185; 3.087376; 9.238643
14; (1.7, 2.1, 1.2); (2.4, 0.6, 1.7); 33.59488; 11.42236; 55.25615; 9.172083
15; (-1.2, -1.4, 2.4); (-0.8, -1.9, 2.2); 12.64793; 38.70064; 21.25995; 15.33018
16; (-2.9, 0.0, 0.9); (-2.6, -0.8, 1.3); 17.57313; 14.72358; 62.29868; 9.253248
--------Experiment Done------------------
