reactionTime;closestDist;hit;correct;direction
1.10606;1.663361;0;1;(-1.0, 0.1, 0.2)
3.285095;0.5580689;1;0;(0.9, 0.0, 0.5)
3.049995;2.205153;0;1;(1.0, -0.2, -0.1)
2.648079;1.663361;0;0;(0.7, -0.2, -0.7)
2.630974;3.253894;0;1;(-0.5, -0.2, -0.8)
3.36911;4.000013;0;1;(-0.9, 0.5, 0.1)
2.346062;0.2798389;1;1;(-1.0, 0.0, 0.0)
2.832184;0.8363127;1;1;(1.0, -0.1, -0.2)
2.949142;1.11345;0;0;(-0.8, -0.1, -0.6)
3.33519;0.8363141;1;0;(0.5, 0.1, 0.9)
3.284065;2.205155;0;1;(-0.9, -0.2, 0.5)
2.614075;2.736177;0;0;(0.9, -0.3, -0.3)
3.452118;2.736178;0;0;(0.9, -0.1, 0.5)
3.569138;0.02384398;1;0;(0.4, 0.0, -0.9)
2.380051;4.000013;0;1;(0.9, -0.3, 0.0)
1.827072;0.02230635;1;0;(0.2, 0.0, 1.0)
2.479263;2.736182;0;1;(-0.8, -0.3, 0.5)
2.530121;1.935425;0;1;(0.1, 0.0, -1.0)
1.475021;0.8363138;1;0;(-1.0, -0.1, -0.1)
2.715103;1.935461;0;0;(0.9, 0.2, 0.3)
