Iteration number; Actual position; Estimated postion; Angle; Horizontal angle; Vertical angle; Time
-- amount:2 ,3D:True ,only front:True ,unique sounds:True
1; (0.0, -2.7, 1.4); (0.3, 0.0, 3.0); 63.10422; 0.06217267; 6.120635; 4.220376
1; (0.0, 2.7, 1.4); (0.4, 2.1, 2.1); 18.46747; 45.46771; 10.21203; 7.887784
2; (2.3, -1.8, 0.8); (2.9, 0.2, 0.6); 40.70084; 4.234741; 78.55841; 2.361903
2; (-1.2, 2.1, 1.7); (-0.8, 0.5, 2.8); 39.06897; 9.988586; 15.84357; 3.922875
3; (-2.9, 0.0, 0.9); (-2.5, 0.9, 1.4); 21.48583; 17.79352; 59.75684; 3.26511
3; (0.0, 0.0, 3.0); (0.5, 0.3, 2.9); 11.39058; 5.052063; 10.2222; 4.716972
4; (0.0, -2.1, 2.1); (0.8, -1.4, 2.5); 22.40052; 27.81265; 18.05649; 4.799407
4; (0.0, -2.7, 1.4); (-0.3, -0.2, 3.0); 59.3415; 3.858504; 6.59729; 8.171125
5; (-2.1, 0.0, 2.1); (-2.1, 0.5, 2.1); 10.0106; 9.983215; 44.25583; 2.440793
5; (2.9, 0.0, 0.9); (2.6, 0.1, 1.4); 10.82718; 2.10553; 61.37715; 3.467124
6; (2.3, -1.8, 0.8); (2.8, -0.5, 0.9); 25.49393; 10.50607; 71.98219; 3.214096
6; (-1.2, 2.1, 1.7); (-1.6, 0.8, 2.4); 28.90953; 16.19266; 33.11478; 5.012803
7; (0.0, 2.7, 1.4); (0.8, 1.7, 2.3); 30.6439; 34.78534; 19.24248; 8.464256
7; (0.0, -2.7, 1.4); (0.7, 0.2, 2.9); 68.55606; 4.749664; 13.80159; 9.55738
8; (-2.9, 0.0, 0.9); (-2.5, 1.0, 1.3); 22.5179; 20.0112; 61.45609; 2.696466
8; (0.0, 0.0, 3.0); (0.5, 0.0, 3.0); 8.786127; 0.6292419; 8.763742; 4.243052
--------Experiment Done------------------
