Iteration number; Actual position; Estimated postion; Error angle
-- amount:1 ,3D:True ,only front:True ,unique sounds:True
5; (3.0, 0.0, 0.0); (2.9, -0.2, 0.5); 11.44066
--------Iteration Done------------------
5; (-3.0, 0.0, 0.0); (-3.0, -0.1, 0.1); 2.572985
--------Iteration Done------------------
5; (0.0, 0.0, 3.0); (-0.1, -0.2, 3.0); 4.360849
--------Iteration Done------------------
5; (1.1, 2.8, 0.0); (1.3, 2.6, 0.7); 14.29724
--------Iteration Done------------------
5; (1.1, -2.8, 0.0); (1.0, -2.8, 0.2); 5.077133
--------Iteration Done------------------
--------Experiment Done------------------
