Iteration number; Actual position; Estimated postion; Error angle
-- amount:1 ,3D:True ,only front:True ,unique sounds:True
5; (3.0, 0.0, 0.0); (0.7, -0.2, 2.9); 77.2103
--------Iteration Done------------------
5; (-3.0, 0.0, 0.0); (2.6, 0.0, -1.4); 151.779
--------Iteration Done------------------
5; (0.0, 0.0, 3.0); (-2.8, 0.1, 1.0); 70.20068
--------Iteration Done------------------
5; (1.1, 2.8, 0.0); (0.5, 2.0, 2.2); 46.73808
--------Iteration Done------------------
5; (1.1, -2.8, 0.0); (1.3, -2.1, 1.7); 36.36568
--------Iteration Done------------------
--------Experiment Done------------------
